Car_id,customer_id,Dealer_No ,Date,Price ($)
C_CND_000001,1,06457-3834,1/2/2022,26000
C_CND_000002,2,60504-7114,1/2/2022,19000
C_CND_000003,3,38701-8047,1/2/2022,31500
C_CND_000004,4,99301-3882,1/2/2022,14000
C_CND_000005,5,53546-9427,1/2/2022,24500
C_CND_000006,6,85257-3102,1/2/2022,12000
C_CND_000007,7,78758-7841,1/2/2022,14000
C_CND_000008,8,78758-7841,1/2/2022,42000
C_CND_000009,9,85257-3102,1/2/2022,82000
C_CND_000010,10,85257-3102,1/2/2022,15000
C_CND_000011,11,78758-7841,1/2/2022,31000
C_CND_000012,12,78758-7841,1/2/2022,46000
C_CND_000013,13,60504-7114,1/2/2022,9000
C_CND_000014,14,38701-8047,1/2/2022,15000
C_CND_000015,15,06457-3834,1/2/2022,26000
C_CND_000016,16,60504-7114,1/2/2022,17000
C_CND_000017,17,38701-8047,1/2/2022,18000
C_CND_000018,18,99301-3882,1/2/2022,31000
C_CND_000019,19,53546-9427,1/2/2022,33000
C_CND_000020,20,85257-3102,1/2/2022,21000
C_CND_000021,21,78758-7841,1/2/2022,25000
C_CND_000022,22,85257-3102,1/2/2022,21000
C_CND_000023,23,06457-3834,1/2/2022,12000
C_CND_000024,24,99301-3882,1/2/2022,18000
C_CND_000025,25,53546-9427,1/2/2022,22000
C_CND_000026,26,85257-3102,1/2/2022,31250
C_CND_000027,27,78758-7841,1/2/2022,19000
C_CND_000028,28,53546-9427,1/2/2022,41000
C_CND_000029,29,78758-7841,1/2/2022,41000
C_CND_000030,30,06457-3834,1/2/2022,13000
C_CND_000031,31,60504-7114,1/2/2022,20000
C_CND_000032,32,38701-8047,1/2/2022,14000
C_CND_000033,33,99301-3882,1/2/2022,19000
C_CND_000034,34,85257-3102,1/2/2022,43000
C_CND_000035,35,78758-7841,1/2/2022,16000
C_CND_000036,36,06457-3834,1/3/2022,42000
C_CND_000037,37,60504-7114,1/3/2022,21000
C_CND_000038,38,38701-8047,1/3/2022,61000
C_CND_000039,39,99301-3882,1/3/2022,39000
C_CND_000040,40,99301-3882,1/3/2022,16000
C_CND_000041,41,53546-9427,1/3/2022,26000
C_CND_000042,42,85257-3102,1/3/2022,21000
C_CND_000043,43,78758-7841,1/3/2022,42500
C_CND_000044,44,06457-3834,1/3/2022,45001
C_CND_000045,45,60504-7114,1/3/2022,36001
C_CND_000046,46,38701-8047,1/3/2022,12000
C_CND_000047,47,99301-3882,1/3/2022,21001
C_CND_000048,48,85257-3102,1/3/2022,29000
C_CND_000049,49,78758-7841,1/3/2022,20000
C_CND_000050,50,06457-3834,1/3/2022,22000
C_CND_000051,51,60504-7114,1/3/2022,31000
C_CND_000052,52,53546-9427,1/3/2022,27000
C_CND_000053,53,60504-7114,1/3/2022,33000
C_CND_000054,54,38701-8047,1/3/2022,14000
C_CND_000055,55,99301-3882,1/3/2022,17000
C_CND_000056,56,53546-9427,1/4/2022,25600
C_CND_000057,57,85257-3102,1/4/2022,17000
C_CND_000058,58,78758-7841,1/4/2022,21000
C_CND_000059,59,06457-3834,1/4/2022,12000
C_CND_000060,60,60504-7114,1/4/2022,17000
C_CND_000061,61,06457-3834,1/4/2022,36000
C_CND_000062,62,53546-9427,1/4/2022,17000
C_CND_000063,63,85257-3102,1/4/2022,41000
C_CND_000064,64,06457-3834,1/4/2022,14000
C_CND_000065,65,38701-8047,1/4/2022,31100
C_CND_000066,66,99301-3882,1/4/2022,61000
C_CND_000067,67,53546-9427,1/4/2022,26000
C_CND_000068,68,53546-9427,1/4/2022,12000
C_CND_000069,69,85257-3102,1/4/2022,42000
C_CND_000070,70,78758-7841,1/4/2022,21000
C_CND_000071,71,06457-3834,1/5/2022,22600
C_CND_000072,72,60504-7114,1/5/2022,45000
C_CND_000073,73,38701-8047,1/5/2022,25000
C_CND_000074,74,99301-3882,1/5/2022,62000
C_CND_000075,75,53546-9427,1/5/2022,22700
C_CND_000076,76,85257-3102,1/5/2022,45000
C_CND_000077,77,99301-3882,1/5/2022,17000
C_CND_000078,78,78758-7841,1/5/2022,49000
C_CND_000079,79,85257-3102,1/5/2022,15000
C_CND_000080,80,78758-7841,1/5/2022,28000
C_CND_000081,81,85257-3102,1/5/2022,46000
C_CND_000082,82,60504-7114,1/5/2022,43000
C_CND_000083,83,60504-7114,1/5/2022,41000
C_CND_000084,84,38701-8047,1/5/2022,45000
C_CND_000085,85,99301-3882,1/5/2022,22001
C_CND_000086,86,53546-9427,1/5/2022,25001
C_CND_000087,87,85257-3102,1/5/2022,12800
C_CND_000088,88,78758-7841,1/5/2022,26000
C_CND_000089,89,85257-3102,1/5/2022,18000
C_CND_000090,90,78758-7841,1/5/2022,19000
C_CND_000091,91,06457-3834,1/5/2022,22500
C_CND_000092,92,78758-7841,1/5/2022,21001
C_CND_000093,93,60504-7114,1/5/2022,46500
C_CND_000094,94,99301-3882,1/5/2022,16000
C_CND_000095,95,06457-3834,1/5/2022,39000
C_CND_000096,96,60504-7114,1/5/2022,19000
C_CND_000097,97,38701-8047,1/5/2022,26000
C_CND_000098,98,99301-3882,1/5/2022,43000
C_CND_000099,99,53546-9427,1/5/2022,54000
C_CND_000100,100,85257-3102,1/5/2022,22000
C_CND_000101,101,78758-7841,1/6/2022,16001
C_CND_000102,102,06457-3834,1/6/2022,16001
C_CND_000103,103,38701-8047,1/6/2022,12000
C_CND_000104,104,06457-3834,1/6/2022,38000
C_CND_000105,105,06457-3834,1/6/2022,42000
C_CND_000106,106,60504-7114,1/6/2022,21000
C_CND_000107,107,53546-9427,1/6/2022,49000
C_CND_000108,108,99301-3882,1/6/2022,21200
C_CND_000109,109,78758-7841,1/6/2022,71000
C_CND_000110,110,06457-3834,1/6/2022,17000
C_CND_000111,111,60504-7114,1/9/2022,57001
C_CND_000112,112,38701-8047,1/9/2022,62001
C_CND_000113,113,99301-3882,1/9/2022,69001
C_CND_000114,114,53546-9427,1/9/2022,20001
C_CND_000115,115,85257-3102,1/9/2022,27000
C_CND_000116,116,78758-7841,1/9/2022,49000
C_CND_000117,117,78758-7841,1/9/2022,49000
C_CND_000118,118,06457-3834,1/9/2022,12000
C_CND_000119,119,38701-8047,1/9/2022,25000
C_CND_000120,120,99301-3882,1/9/2022,42000
C_CND_000121,121,53546-9427,1/9/2022,19000
C_CND_000122,122,85257-3102,1/9/2022,26750
C_CND_000123,123,78758-7841,1/9/2022,31000
C_CND_000124,124,06457-3834,1/9/2022,49000
C_CND_000125,125,60504-7114,1/9/2022,15000
C_CND_000126,126,38701-8047,1/9/2022,26000
C_CND_000127,127,53546-9427,1/9/2022,17000
C_CND_000128,128,38701-8047,1/9/2022,24000
C_CND_000129,129,99301-3882,1/9/2022,19000
C_CND_000130,130,53546-9427,1/9/2022,20000
C_CND_000131,131,85257-3102,1/10/2022,28501
C_CND_000132,132,60504-7114,1/10/2022,15500
C_CND_000133,133,78758-7841,1/10/2022,20000
C_CND_000134,134,99301-3882,1/10/2022,29000
C_CND_000135,135,85257-3102,1/10/2022,12500
C_CND_000136,136,78758-7841,1/12/2022,16001
C_CND_000137,137,06457-3834,1/12/2022,27250
C_CND_000138,138,60504-7114,1/12/2022,11000
C_CND_000139,139,38701-8047,1/12/2022,22001
C_CND_000140,140,99301-3882,1/12/2022,22000
C_CND_000141,141,53546-9427,1/12/2022,22000
C_CND_000142,142,38701-8047,1/12/2022,18000
C_CND_000143,143,99301-3882,1/12/2022,27000
C_CND_000144,144,53546-9427,1/12/2022,25000
C_CND_000145,145,85257-3102,1/12/2022,26500
C_CND_000146,146,78758-7841,1/12/2022,69000
C_CND_000147,147,06457-3834,1/12/2022,14150
C_CND_000148,148,53546-9427,1/12/2022,28000
C_CND_000149,149,85257-3102,1/12/2022,43000
C_CND_000150,150,78758-7841,1/12/2022,25000
C_CND_000151,151,06457-3834,1/12/2022,12000
C_CND_000152,152,60504-7114,1/12/2022,39000
C_CND_000153,153,38701-8047,1/12/2022,60500
C_CND_000154,154,53546-9427,1/12/2022,16000
C_CND_000155,155,85257-3102,1/12/2022,19000
C_CND_000156,156,78758-7841,1/12/2022,44000
C_CND_000157,157,06457-3834,1/12/2022,71000
C_CND_000158,158,60504-7114,1/12/2022,25000
C_CND_000159,159,38701-8047,1/12/2022,18000
C_CND_000160,160,78758-7841,1/12/2022,22000
C_CND_000161,161,06457-3834,1/12/2022,41000
C_CND_000162,162,38701-8047,1/12/2022,49000
C_CND_000163,163,38701-8047,1/12/2022,19000
C_CND_000164,164,99301-3882,1/12/2022,21000
C_CND_000165,165,85257-3102,1/12/2022,22000
C_CND_000166,166,85257-3102,1/13/2022,16000
C_CND_000167,167,78758-7841,1/13/2022,45000
